ID,Zip,Average Annual Income,Average annual disposable funds,Education,Average age,age18-25,age 26-35,age 36-50,age 51-69,age 70+,Population,Female,Male,State
110052,31079,134195,16826,Bachelor's Degree,27,0.31,0.17,0.23,0.23,0.06,2398,0.6,0.4,Georgia
110053,31081,78081,4083,Doctorate Degree,24,0.18,0.24,0.27,0.24,0.07,251,0.45,0.55,Georgia
110054,31082,32675,2066,GED,34,0.19,0.18,0.25,0.29,0.09,10408,0.53,0.47,Georgia
110055,31083,152303,17950,GED,32,0.3,0.26,0.18,0.19,0.07,362,0.45,0.55,Georgia
110056,31084,132182,17004,Bachelor's Degree,25,0.34,0.18,0.21,0.21,0.06,129,0.49,0.51,Georgia
110057,31085,35916,4604,GED,40,0.16,0.3,0.29,0.18,0.07,1043,0.58,0.42,Georgia
110058,31087,69472,4447,Bachelor's Degree,42,0.18,0.28,0.3,0.18,0.06,9656,0.43,0.57,Georgia
110059,31088,175775,13551,Some High School,24,0.21,0.25,0.29,0.19,0.06,50163,0.5,0.5,Georgia
110060,31089,30918,2887,High School Diploma,40,0.23,0.21,0.18,0.29,0.09,4838,0.59,0.41,Georgia
110061,31090,107808,11690,Bachelor's Degree,31,0.17,0.29,0.26,0.2,0.08,1038,0.51,0.49,Georgia
110062,31091,151089,15942,Doctorate Degree,29,0.21,0.29,0.2,0.21,0.09,5189,0.4,0.6,Georgia
110063,31092,116066,11213,Some College,21,0.34,0.2,0.2,0.19,0.07,7420,0.56,0.44,Georgia
110064,31093,63565,7960,GED,35,0.19,0.28,0.23,0.21,0.09,28087,0.49,0.51,Georgia
110065,31094,124478,9466,Master's Degree,33,0.1,0.28,0.26,0.27,0.09,1114,0.64,0.36,Georgia
110066,31096,38112,3479,Bachelor's Degree,31,0.31,0.26,0.17,0.19,0.07,7395,0.5,0.5,Georgia
110067,31097,54291,4007,Some College,25,0.31,0.19,0.18,0.26,0.06,1302,0.62,0.38,Georgia
110068,31098,138394,19946,Some College,31,0.19,0.23,0.22,0.27,0.09,2888,0.45,0.55,Georgia
110069,31201,137052,12134,Associate's Degree,36,0.12,0.24,0.28,0.3,0.06,8761,0.5,0.5,Georgia
110070,31204,142839,13870,Doctorate Degree,34,0.24,0.26,0.2,0.24,0.06,31482,0.63,0.37,Georgia
110071,31206,42036,2863,Some College,33,0.25,0.17,0.2,0.3,0.08,29072,0.65,0.35,Georgia
110072,31207,51809,7407,Bachelor's Degree,24,0.24,0.21,0.26,0.22,0.07,974,0.59,0.41,Georgia
110073,31210,113829,6544,GED,17,0.39,0.18,0.19,0.18,0.06,30968,0.53,0.47,Georgia
110074,31211,28262,2450,GED,32,0.16,0.29,0.26,0.23,0.06,16282,0.42,0.58,Georgia
110075,31213,120083,12786,Some College,34,0.23,0.3,0.22,0.19,0.06,24,0.56,0.44,Georgia
110076,31216,37545,1879,Some High School,36,0.24,0.21,0.19,0.3,0.06,16109,0.5,0.5,Georgia
110077,31217,71821,5905,Some College,28,0.14,0.24,0.25,0.3,0.07,18408,0.67,0.33,Georgia
110078,31220,58073,7447,Bachelor's Degree,30,0.33,0.19,0.2,0.21,0.07,13839,0.64,0.36,Georgia
110079,31301,51538,4353,Some College,26,0.24,0.21,0.25,0.24,0.06,4591,0.54,0.46,Georgia
110080,31302,83131,9968,Some College,33,0.23,0.25,0.25,0.21,0.06,7853,0.42,0.58,Georgia
110081,31303,74564,4746,Master's Degree,25,0.17,0.27,0.3,0.18,0.08,1999,0.46,0.54,Georgia
110082,31304,37156,1967,GED,35,0.11,0.28,0.27,0.25,0.09,132,0.52,0.48,Georgia
110083,31305,155268,14796,Some High School,26,0.3,0.24,0.18,0.22,0.06,5989,0.42,0.58,Georgia
110084,31307,67531,4952,GED,41,0.25,0.21,0.28,0.18,0.08,998,0.44,0.56,Georgia
110085,31308,146468,11166,Associate's Degree,24,0.14,0.24,0.27,0.28,0.07,7305,0.66,0.34,Georgia
110086,31309,93299,8211,Bachelor's Degree,28,0.26,0.22,0.23,0.23,0.06,1210,0.52,0.48,Georgia
110087,31312,146083,10760,Some High School,28,0.15,0.26,0.26,0.25,0.08,16443,0.56,0.44,Georgia
110088,31313,157717,21562,GED,34,0.26,0.29,0.18,0.2,0.07,40302,0.56,0.44,Georgia
110089,31314,88353,7605,Master's Degree,36,0.17,0.29,0.25,0.23,0.06,1931,0.58,0.42,Georgia
110090,31315,38552,3244,Doctorate Degree,34,0.09,0.28,0.3,0.24,0.09,7488,0.42,0.58,Georgia
110091,31316,115004,15528,Master's Degree,31,0.17,0.26,0.29,0.22,0.06,9749,0.64,0.36,Georgia
110092,31318,161697,11587,Master's Degree,34,0.18,0.3,0.18,0.25,0.09,341,0.45,0.55,Georgia
110093,31320,122368,9248,Master's Degree,30,0.13,0.29,0.2,0.29,0.09,8794,0.54,0.46,Georgia
110094,31321,136513,20354,Some High School,31,0.13,0.25,0.25,0.28,0.09,6326,0.56,0.44,Georgia
110095,31322,118624,9145,Bachelor's Degree,29,0.3,0.2,0.18,0.26,0.06,21137,0.6,0.4,Georgia
110096,31323,150303,11334,Some High School,28,0.32,0.17,0.2,0.22,0.09,1762,0.61,0.39,Georgia
110097,31324,45599,3112,High School Diploma,31,0.12,0.27,0.29,0.25,0.07,20495,0.5,0.5,Georgia
110098,31326,146678,12871,Doctorate Degree,33,0.17,0.25,0.25,0.25,0.08,19269,0.65,0.35,Georgia
110099,31327,58015,5449,Some College,30,0.27,0.18,0.18,0.3,0.07,195,0.61,0.39,Georgia
110100,31328,165430,16808,Some College,27,0.23,0.18,0.26,0.27,0.06,3306,0.6,0.4,Georgia
110101,31329,46469,2990,GED,36,0.17,0.22,0.25,0.29,0.07,9034,0.46,0.54,Georgia
110102,31331,61685,6954,Associate's Degree,17,0.32,0.2,0.19,0.23,0.06,7856,0.66,0.34,Georgia
110103,31401,107782,14713,Some College,28,0.39,0.17,0.17,0.2,0.07,21696,0.44,0.56,Georgia
110104,31404,174258,9512,Some College,30,0.11,0.27,0.28,0.28,0.06,31024,0.47,0.53,Georgia
110105,31405,29153,3159,Some High School,31,0.23,0.17,0.24,0.3,0.06,37207,0.67,0.33,Georgia
110106,31406,37791,4521,High School Diploma,25,0.18,0.25,0.26,0.25,0.06,33965,0.53,0.47,Georgia
110107,31407,173394,15320,Some College,29,0.23,0.19,0.21,0.3,0.07,7244,0.67,0.33,Georgia
110108,31408,121502,9486,Doctorate Degree,21,0.26,0.25,0.19,0.23,0.07,9952,0.56,0.44,Georgia
110109,31409,141026,14061,Doctorate Degree,34,0.22,0.29,0.24,0.18,0.07,652,0.47,0.53,Georgia
110110,31410,34488,2607,Master's Degree,27,0.21,0.17,0.3,0.26,0.06,23654,0.49,0.51,Georgia
110111,31411,140390,19604,Bachelor's Degree,24,0.35,0.19,0.19,0.2,0.07,8384,0.61,0.39,Georgia
110112,31415,141559,10733,Some High School,27,0.11,0.24,0.29,0.29,0.07,12091,0.55,0.45,Georgia
110113,31419,126360,15024,Some High School,21,0.31,0.17,0.21,0.24,0.07,50954,0.56,0.44,Georgia
110114,31501,170987,17390,Bachelor's Degree,30,0.16,0.27,0.26,0.24,0.07,15576,0.4,0.6,Georgia
110115,31503,50610,6484,Associate's Degree,25,0.27,0.24,0.19,0.23,0.07,21116,0.52,0.48,Georgia
110116,31510,115974,11297,Some College,29,0.17,0.19,0.3,0.28,0.06,9848,0.61,0.39,Georgia
110117,31512,164151,14220,Some High School,36,0.06,0.3,0.3,0.27,0.07,2248,0.66,0.34,Georgia
110118,31513,137226,19231,Bachelor's Degree,25,0.26,0.27,0.18,0.23,0.06,16084,0.54,0.46,Georgia
110119,31516,47455,4634,Some College,33,0.09,0.28,0.26,0.29,0.08,14735,0.58,0.42,Georgia
110120,31518,122444,17431,Master's Degree,36,0.23,0.27,0.26,0.18,0.06,704,0.46,0.54,Georgia
110121,31519,42476,2665,GED,20,0.16,0.24,0.25,0.27,0.08,3569,0.64,0.36,Georgia
110122,31520,92551,6406,Some College,33,0.16,0.29,0.24,0.25,0.06,22336,0.41,0.59,Georgia
110123,31522,36151,2018,Doctorate Degree,39,0.11,0.21,0.29,0.3,0.09,14447,0.52,0.48,Georgia
110124,31523,82209,8868,Master's Degree,27,0.29,0.21,0.25,0.17,0.08,13229,0.42,0.58,Georgia
110125,31524,36793,4638,Bachelor's Degree,35,0.24,0.17,0.28,0.24,0.07,24,0.59,0.41,Georgia
110126,31525,106837,5819,Master's Degree,19,0.24,0.23,0.24,0.21,0.08,28247,0.41,0.59,Georgia
110127,31527,145247,19610,Doctorate Degree,21,0.21,0.2,0.25,0.26,0.08,805,0.63,0.37,Georgia
110128,31532,176889,23226,GED,31,0.19,0.29,0.2,0.23,0.09,727,0.47,0.53,Georgia
110129,31533,126911,16109,Master's Degree,36,0.23,0.28,0.22,0.2,0.07,17494,0.52,0.48,Georgia
110130,31535,172426,14409,Some High School,25,0.15,0.3,0.22,0.24,0.09,11264,0.57,0.43,Georgia
110131,31537,56516,5108,Some College,31,0.18,0.2,0.29,0.27,0.06,10097,0.57,0.43,Georgia
110132,31539,110072,14776,Some College,29,0.22,0.2,0.29,0.23,0.06,14468,0.56,0.44,Georgia
110133,31542,138189,9231,Associate's Degree,24,0.3,0.25,0.22,0.17,0.06,2811,0.54,0.46,Georgia
110134,31543,39542,3919,Master's Degree,26,0.28,0.19,0.22,0.25,0.06,4796,0.45,0.55,Georgia
110135,31544,48847,7300,GED,37,0.25,0.26,0.2,0.2,0.09,994,0.53,0.47,Georgia
110136,31545,128493,7339,Master's Degree,31,0.19,0.25,0.24,0.26,0.06,16133,0.51,0.49,Georgia
110137,31546,61014,6234,Bachelor's Degree,33,0.27,0.28,0.2,0.19,0.06,8095,0.44,0.56,Georgia
110138,31547,49810,6615,Master's Degree,40,0.22,0.29,0.17,0.26,0.06,1293,0.45,0.55,Georgia
110139,31548,111153,5891,Doctorate Degree,33,0.26,0.17,0.3,0.19,0.08,20020,0.53,0.47,Georgia
110140,31549,78604,10401,Doctorate Degree,24,0.22,0.28,0.21,0.23,0.06,2239,0.64,0.36,Georgia
110141,31550,129188,14795,GED,31,0.19,0.25,0.24,0.23,0.09,780,0.58,0.42,Georgia
110142,31551,37433,5573,High School Diploma,33,0.13,0.22,0.29,0.29,0.07,1020,0.64,0.36,Georgia
110143,31552,168780,15813,GED,37,0.29,0.18,0.25,0.2,0.08,932,0.63,0.37,Georgia
110144,31553,89363,6699,Associate's Degree,29,0.23,0.28,0.23,0.19,0.07,5237,0.66,0.34,Georgia
110145,31554,111222,6043,Associate's Degree,26,0.24,0.2,0.22,0.28,0.06,7076,0.56,0.44,Georgia
110146,31555,178295,17018,GED,35,0.16,0.25,0.27,0.24,0.08,2868,0.51,0.49,Georgia
110147,31556,127097,7841,Doctorate Degree,27,0.2,0.25,0.21,0.26,0.08,67,0.42,0.58,Georgia
110148,31557,61291,5857,Associate's Degree,24,0.3,0.19,0.2,0.24,0.07,3043,0.45,0.55,Georgia
110149,31558,122796,16789,High School Diploma,31,0.14,0.24,0.29,0.24,0.09,20373,0.65,0.35,Georgia
110150,31560,168872,17632,Master's Degree,38,0.23,0.2,0.23,0.26,0.08,2842,0.61,0.39,Georgia
110151,31561,31538,3130,High School Diploma,31,0.24,0.29,0.17,0.24,0.06,298,0.62,0.38,Georgia
110152,31562,114290,16293,Associate's Degree,36,0.2,0.19,0.29,0.23,0.09,2177,0.51,0.49,Georgia
110153,31563,36770,2662,High School Diploma,30,0.1,0.3,0.26,0.25,0.09,1324,0.56,0.44,Georgia
110154,31565,59626,7840,Bachelor's Degree,36,0.11,0.27,0.29,0.26,0.07,1841,0.54,0.46,Georgia
110155,31566,26071,2764,GED,32,0.11,0.26,0.27,0.27,0.09,3471,0.47,0.53,Georgia
110156,31567,143170,14597,Doctorate Degree,28,0.09,0.27,0.3,0.25,0.09,782,0.45,0.55,Georgia
110157,31568,151251,15363,Some College,33,0.2,0.24,0.21,0.27,0.08,1273,0.4,0.6,Georgia
110158,31569,172588,14941,Bachelor's Degree,29,0.24,0.25,0.19,0.23,0.09,5580,0.53,0.47,Georgia
110159,31601,25106,1714,Some College,32,0.31,0.17,0.17,0.27,0.08,32730,0.49,0.51,Georgia
110160,31602,72706,3998,Some College,32,0.11,0.28,0.24,0.3,0.07,34702,0.42,0.58,Georgia
110161,31605,80639,5314,Doctorate Degree,36,0.17,0.24,0.23,0.3,0.06,20188,0.41,0.59,Georgia
110162,31606,104819,10994,Master's Degree,30,0.23,0.2,0.24,0.25,0.08,3861,0.52,0.48,Georgia
110163,31620,122610,16192,GED,26,0.4,0.17,0.19,0.17,0.07,10690,0.49,0.51,Georgia
110164,31622,179400,9556,Bachelor's Degree,32,0.24,0.19,0.26,0.24,0.07,2178,0.54,0.46,Georgia
110165,31623,137753,15860,High School Diploma,36,0.27,0.2,0.17,0.3,0.06,120,0.52,0.48,Georgia
110166,31624,143659,20341,Master's Degree,28,0.18,0.26,0.29,0.19,0.08,1273,0.61,0.39,Georgia
110167,31625,149829,17362,Doctorate Degree,33,0.14,0.26,0.29,0.24,0.07,1171,0.66,0.34,Georgia
110168,31626,138434,13471,High School Diploma,29,0.15,0.29,0.23,0.26,0.07,3463,0.67,0.33,Georgia
110169,31627,69901,7704,GED,30,0.15,0.26,0.28,0.24,0.07,239,0.45,0.55,Georgia
110170,31629,112840,16334,Doctorate Degree,27,0.29,0.2,0.25,0.18,0.08,902,0.5,0.5,Georgia
110171,31630,90399,7240,High School Diploma,28,0.39,0.19,0.17,0.19,0.06,419,0.6,0.4,Georgia
110172,31631,92924,8970,Some High School,28,0.23,0.22,0.24,0.24,0.07,559,0.61,0.39,Georgia
110173,31632,61965,5705,Associate's Degree,24,0.17,0.22,0.24,0.28,0.09,10295,0.59,0.41,Georgia
110174,31634,161160,15041,Some High School,27,0.23,0.18,0.25,0.27,0.07,5844,0.58,0.42,Georgia
110175,31635,163349,11145,Doctorate Degree,31,0.14,0.27,0.29,0.21,0.09,6560,0.67,0.33,Georgia
110176,31636,90916,8097,Some College,34,0.16,0.2,0.29,0.28,0.07,9539,0.56,0.44,Georgia
110177,31637,142187,11279,Associate's Degree,35,0.11,0.3,0.23,0.28,0.08,2848,0.46,0.54,Georgia
110178,31638,141909,18443,Some High School,29,0.33,0.22,0.17,0.21,0.07,1045,0.54,0.46,Georgia
110179,31639,112751,15193,Doctorate Degree,38,0.19,0.24,0.3,0.18,0.09,10537,0.65,0.35,Georgia
110180,31641,104425,13561,High School Diploma,26,0.3,0.24,0.2,0.19,0.07,1831,0.59,0.41,Georgia
110181,31642,138291,7189,Bachelor's Degree,26,0.31,0.22,0.2,0.2,0.07,4898,0.63,0.37,Georgia
110182,31643,175005,23782,Some College,33,0.15,0.28,0.25,0.26,0.06,8709,0.45,0.55,Georgia
110183,31645,96175,10239,Some College,36,0.13,0.26,0.26,0.29,0.06,5147,0.55,0.45,Georgia
110184,31647,121887,6743,Associate's Degree,28,0.3,0.18,0.19,0.24,0.09,3535,0.67,0.33,Georgia
110185,31648,44894,5104,GED,26,0.25,0.24,0.24,0.19,0.08,1040,0.47,0.53,Georgia
110186,31649,120183,11661,Associate's Degree,28,0.17,0.27,0.22,0.26,0.08,1056,0.57,0.43,Georgia
110187,31650,92588,6449,Bachelor's Degree,37,0.28,0.22,0.17,0.26,0.07,3311,0.47,0.53,Georgia
110188,31698,165891,10395,Master's Degree,37,0.21,0.3,0.2,0.23,0.06,2223,0.63,0.37,Georgia
110189,31699,74574,5067,Some College,32,0.26,0.29,0.2,0.18,0.07,621,0.67,0.33,Georgia
110190,31701,58768,4675,Doctorate Degree,28,0.23,0.24,0.19,0.28,0.06,20552,0.63,0.37,Georgia
110191,31705,152897,20854,GED,26,0.22,0.23,0.28,0.18,0.09,35565,0.67,0.33,Georgia
110192,31707,129091,16732,High School Diploma,31,0.2,0.29,0.24,0.19,0.08,25299,0.47,0.53,Georgia
110193,31709,130209,9609,GED,28,0.33,0.19,0.19,0.21,0.08,16019,0.65,0.35,Georgia
110194,31711,160413,18459,Some High School,30,0.23,0.23,0.27,0.19,0.08,867,0.45,0.55,Georgia
110195,31712,57503,4652,Doctorate Degree,39,0.21,0.3,0.19,0.21,0.09,1263,0.61,0.39,Georgia
110196,31714,98812,9825,Bachelor's Degree,37,0.06,0.3,0.26,0.3,0.08,6474,0.64,0.36,Georgia
110197,31716,104099,8368,Doctorate Degree,31,0.23,0.19,0.27,0.22,0.09,2896,0.5,0.5,Georgia
110198,31719,116447,13752,Associate's Degree,33,0.23,0.22,0.3,0.18,0.07,10977,0.63,0.37,Georgia
110199,31720,178255,19881,Associate's Degree,38,0.3,0.18,0.18,0.26,0.08,455,0.53,0.47,Georgia
110200,31721,95521,5890,Some College,24,0.04,0.29,0.3,0.3,0.07,20095,0.43,0.57,Georgia
110201,31722,68319,3803,Doctorate Degree,35,0.22,0.21,0.24,0.27,0.06,494,0.54,0.46,Georgia
110202,31730,158690,18334,Master's Degree,26,0.11,0.26,0.28,0.26,0.09,9682,0.51,0.49,Georgia
110203,31733,118686,7116,Some High School,40,0.22,0.21,0.21,0.3,0.06,1580,0.59,0.41,Georgia
110204,31735,106214,7321,Associate's Degree,39,0.21,0.24,0.28,0.2,0.07,817,0.58,0.42,Georgia
110205,31738,103200,14474,Some College,23,0.25,0.18,0.27,0.24,0.06,2102,0.44,0.56,Georgia
110206,31743,98899,9034,Associate's Degree,24,0.18,0.26,0.27,0.21,0.08,630,0.63,0.37,Georgia
110207,31744,83685,8669,Some High School,31,0.17,0.28,0.19,0.27,0.09,3202,0.54,0.46,Georgia
110208,31747,87382,6272,High School Diploma,20,0.36,0.2,0.17,0.21,0.06,281,0.64,0.36,Georgia
110209,31749,41449,4790,Master's Degree,34,0.13,0.24,0.29,0.27,0.07,2783,0.47,0.53,Georgia
110210,31750,162778,19266,Bachelor's Degree,26,0.16,0.2,0.28,0.28,0.08,18687,0.58,0.42,Georgia
110211,31756,45226,4317,Doctorate Degree,32,0.27,0.27,0.22,0.18,0.06,966,0.46,0.54,Georgia
110212,31757,83625,11409,Bachelor's Degree,29,0.21,0.23,0.19,0.28,0.09,10451,0.54,0.46,Georgia
110213,31763,120659,17310,Bachelor's Degree,31,0.23,0.25,0.25,0.2,0.07,23304,0.63,0.37,Georgia
110214,31764,72016,7270,Some High School,29,0.13,0.25,0.25,0.28,0.09,1296,0.59,0.41,Georgia
110215,31765,58164,8377,Doctorate Degree,38,0.15,0.27,0.27,0.24,0.07,2647,0.58,0.42,Georgia
110216,31768,98999,13015,Some High School,30,0.24,0.28,0.19,0.2,0.09,23617,0.5,0.5,Georgia
110217,31771,79602,9078,GED,32,0.23,0.18,0.3,0.23,0.06,5666,0.52,0.48,Georgia
110218,31772,48881,2645,High School Diploma,33,0.06,0.28,0.3,0.29,0.07,482,0.56,0.44,Georgia
110219,31773,104743,10388,High School Diploma,35,0.13,0.22,0.28,0.29,0.08,3729,0.6,0.4,Georgia
110220,31774,51854,4982,Some High School,33,0.14,0.26,0.29,0.22,0.09,6714,0.49,0.51,Georgia
110221,31775,72130,5594,Some High School,26,0.19,0.23,0.26,0.24,0.08,2979,0.56,0.44,Georgia
110222,31778,82457,7134,Some College,31,0.24,0.2,0.22,0.27,0.07,2562,0.53,0.47,Georgia
110223,31779,127734,7827,Some College,28,0.22,0.28,0.19,0.22,0.09,9927,0.48,0.52,Georgia
110224,31780,65213,8828,GED,30,0.18,0.27,0.23,0.26,0.06,2285,0.46,0.54,Georgia
110225,31781,74109,5478,Doctorate Degree,28,0.27,0.25,0.17,0.23,0.08,1752,0.44,0.56,Georgia
110226,31783,112549,16196,GED,30,0.26,0.2,0.25,0.2,0.09,1107,0.61,0.39,Georgia
110227,31784,35581,4724,GED,21,0.26,0.23,0.22,0.22,0.07,781,0.55,0.45,Georgia
110228,31787,51866,6356,Bachelor's Degree,26,0.21,0.21,0.24,0.27,0.07,1488,0.5,0.5,Georgia
110229,31788,96055,10167,Associate's Degree,34,0.29,0.23,0.24,0.17,0.07,10602,0.52,0.48,Georgia
110230,31789,97983,6610,Master's Degree,36,0.22,0.17,0.26,0.29,0.06,1236,0.55,0.45,Georgia
110231,31790,89415,8551,Some College,42,0.1,0.3,0.28,0.23,0.09,2078,0.62,0.38,Georgia
110232,31791,157481,16180,Doctorate Degree,36,0.08,0.27,0.28,0.28,0.09,12354,0.47,0.53,Georgia
110233,31792,66554,6037,Doctorate Degree,23,0.37,0.2,0.19,0.18,0.06,23835,0.5,0.5,Georgia
110234,31793,175777,14093,High School Diploma,33,0.14,0.28,0.29,0.23,0.06,9043,0.66,0.34,Georgia
110235,31794,139181,9645,Bachelor's Degree,36,0.22,0.17,0.28,0.25,0.08,27153,0.47,0.53,Georgia
110236,31795,137422,7620,Master's Degree,31,0.16,0.27,0.21,0.28,0.08,2010,0.53,0.47,Georgia
110237,31796,117538,8279,Some High School,29,0.19,0.22,0.27,0.25,0.07,1112,0.5,0.5,Georgia
110238,31798,155171,17370,Doctorate Degree,31,0.18,0.28,0.18,0.28,0.08,983,0.44,0.56,Georgia
110239,31801,39153,3026,Bachelor's Degree,34,0.16,0.17,0.3,0.28,0.09,3008,0.45,0.55,Georgia
110240,31803,134169,17141,Some High School,36,0.06,0.28,0.3,0.29,0.07,5662,0.41,0.59,Georgia
110241,31804,170496,11034,Some High School,27,0.31,0.18,0.17,0.28,0.06,5934,0.64,0.36,Georgia
110242,31805,42870,5728,Some College,29,0.2,0.21,0.27,0.24,0.08,3191,0.46,0.54,Georgia
110243,31806,134224,19680,Some High School,28,0.05,0.28,0.29,0.29,0.09,4962,0.67,0.33,Georgia
110244,31807,164061,14577,Some High School,34,0.18,0.27,0.28,0.21,0.06,2483,0.59,0.41,Georgia
110245,31808,56955,4674,Bachelor's Degree,23,0.21,0.26,0.23,0.22,0.08,6679,0.53,0.47,Georgia
110246,31810,121320,17085,Bachelor's Degree,27,0.24,0.22,0.19,0.26,0.09,225,0.55,0.45,Georgia
110247,31811,88755,10540,Some High School,24,0.21,0.19,0.22,0.29,0.09,5103,0.4,0.6,Georgia
110248,31812,98357,14364,GED,30,0.14,0.29,0.24,0.27,0.06,565,0.59,0.41,Georgia
110249,31814,32805,2709,Associate's Degree,20,0.3,0.21,0.21,0.2,0.08,272,0.48,0.52,Georgia
110250,31815,26505,2754,High School Diploma,29,0.21,0.26,0.25,0.21,0.07,3675,0.6,0.4,Georgia
110251,31816,142156,16195,Some High School,29,0.2,0.23,0.3,0.21,0.06,6091,0.66,0.34,Georgia
110252,31820,173385,19761,Some College,27,0.23,0.26,0.23,0.22,0.06,8473,0.48,0.52,Georgia
110253,31821,178173,23573,Associate's Degree,32,0.28,0.19,0.26,0.21,0.06,250,0.58,0.42,Georgia
110254,31822,118438,11809,Some College,33,0.16,0.22,0.26,0.3,0.06,5429,0.59,0.41,Georgia
110255,31823,149509,9033,Some College,24,0.25,0.2,0.19,0.3,0.06,754,0.46,0.54,Georgia
110256,31824,74461,5893,Associate's Degree,33,0.28,0.26,0.21,0.19,0.06,1838,0.66,0.34,Georgia
110257,31825,137573,19507,GED,32,0.21,0.19,0.23,0.3,0.07,2312,0.48,0.52,Georgia
110258,31826,79608,11645,Master's Degree,29,0.3,0.18,0.26,0.18,0.08,2350,0.63,0.37,Georgia
110259,31827,84567,9131,Some High School,28,0.15,0.29,0.18,0.3,0.08,2134,0.58,0.42,Georgia
110260,31829,149641,20924,Doctorate Degree,29,0.17,0.3,0.26,0.2,0.07,1370,0.43,0.57,Georgia
110261,31830,66272,7818,Doctorate Degree,19,0.31,0.17,0.25,0.21,0.06,2191,0.45,0.55,Georgia
110262,31831,173022,21687,Master's Degree,36,0.22,0.29,0.22,0.18,0.09,3095,0.55,0.45,Georgia
110263,31832,110701,10972,Bachelor's Degree,32,0.2,0.23,0.28,0.23,0.06,217,0.6,0.4,Georgia
110264,31833,46841,4524,GED,39,0.13,0.28,0.27,0.24,0.08,6900,0.65,0.35,Georgia
110265,31836,73000,9955,GED,27,0.28,0.28,0.19,0.17,0.08,1154,0.53,0.47,Georgia
110266,31901,102173,5718,Some College,34,0.19,0.25,0.29,0.19,0.08,8638,0.62,0.38,Georgia
110267,31903,99073,10948,High School Diploma,30,0.26,0.18,0.24,0.25,0.07,20128,0.66,0.34,Georgia
110268,31904,36743,5137,Some High School,29,0.24,0.19,0.27,0.24,0.06,32871,0.55,0.45,Georgia
110269,31905,130082,16332,Some High School,40,0.23,0.19,0.3,0.21,0.07,16044,0.56,0.44,Georgia
110270,31906,162354,16998,Bachelor's Degree,33,0.16,0.26,0.25,0.24,0.09,21757,0.59,0.41,Georgia
110271,31907,100443,7429,Associate's Degree,36,0.24,0.21,0.3,0.18,0.07,55332,0.41,0.59,Georgia
110272,31909,138403,10425,Master's Degree,33,0.18,0.28,0.26,0.22,0.06,35177,0.49,0.51,Georgia
110273,32003,151413,17586,Associate's Degree,26,0.14,0.28,0.24,0.28,0.06,27126,0.55,0.45,Florida
110274,32008,164461,15719,High School Diploma,27,0.26,0.2,0.29,0.19,0.06,5309,0.64,0.36,Florida
110275,32009,58897,6607,Associate's Degree,31,0.13,0.3,0.25,0.23,0.09,3325,0.58,0.42,Florida
110276,32011,42611,2795,Associate's Degree,31,0.12,0.3,0.22,0.28,0.08,13854,0.47,0.53,Florida
110277,32024,34920,3391,Doctorate Degree,29,0.24,0.22,0.19,0.26,0.09,18733,0.62,0.38,Florida
110278,32025,55632,6167,Master's Degree,33,0.15,0.24,0.26,0.29,0.06,22380,0.55,0.45,Florida
110279,32026,124876,18068,High School Diploma,26,0.23,0.18,0.27,0.26,0.06,1959,0.58,0.42,Florida
110280,32033,74257,10739,Master's Degree,39,0.2,0.17,0.26,0.29,0.08,4118,0.61,0.39,Florida
110281,32034,132819,13702,Associate's Degree,35,0.08,0.29,0.27,0.28,0.08,31008,0.62,0.38,Florida
110282,32038,109318,12524,Doctorate Degree,30,0.21,0.2,0.29,0.23,0.07,9228,0.48,0.52,Florida
110283,32040,131041,17702,Some College,32,0.15,0.22,0.28,0.27,0.08,7604,0.67,0.33,Florida
110284,32043,37612,4431,Doctorate Degree,26,0.42,0.18,0.17,0.17,0.06,24632,0.49,0.51,Florida
110285,32044,36579,3025,Some College,22,0.33,0.2,0.17,0.22,0.08,2060,0.56,0.44,Florida
110286,32046,36791,3601,High School Diploma,42,0.19,0.24,0.3,0.2,0.07,9410,0.62,0.38,Florida
110287,32052,172868,9528,Bachelor's Degree,33,0.24,0.23,0.26,0.2,0.07,9223,0.67,0.33,Florida
110288,32053,179645,18176,Some High School,22,0.34,0.2,0.17,0.22,0.07,3869,0.67,0.33,Florida
110289,32054,45104,5379,Master's Degree,32,0.32,0.17,0.22,0.2,0.09,12307,0.57,0.43,Florida
110290,32055,48577,3656,Doctorate Degree,21,0.36,0.2,0.19,0.18,0.07,16570,0.52,0.48,Florida
110291,32058,164875,13757,Some High School,26,0.32,0.22,0.2,0.18,0.08,4416,0.62,0.38,Florida
110292,32059,76971,9431,GED,30,0.13,0.29,0.27,0.25,0.06,2377,0.62,0.38,Florida
110293,32060,101666,11940,Doctorate Degree,29,0.27,0.2,0.19,0.28,0.06,21363,0.54,0.46,Florida
110294,32061,81056,8843,GED,26,0.38,0.19,0.18,0.18,0.07,283,0.43,0.57,Florida
110295,32062,169476,18519,Some High School,29,0.29,0.18,0.3,0.17,0.06,2449,0.62,0.38,Florida
110296,32063,106650,5799,High School Diploma,31,0.25,0.17,0.24,0.28,0.06,13429,0.66,0.34,Florida
110297,32064,175044,13410,Master's Degree,23,0.22,0.24,0.24,0.21,0.09,6860,0.49,0.51,Florida
110298,32065,90722,9851,Bachelor's Degree,25,0.29,0.22,0.24,0.17,0.08,32770,0.4,0.6,Florida
